Rango1,Unidad_lito1,Edad1,Abreviatura1,Rango2,Unidad_lito2,Edad2,Abreviatura2
Unidad,Tuctu,MPL,Tu,,,,
Unidad,Tununyunga,MPL,Ty,,,,
Unidad,Upano (Salado),J,Su,,,,
Unidad,Urdaneta (Saraguro),O,U,,,,
Unidad,Uritusinga,EO,Ur,,,,
Unidad,Yacuambi,J,Ya,,,,
Unidad,Yacuvina,M,Yv,,,,
Unidad,Yariguina (Saraguro),OM,Yg,,,,
Unidad,Yunga (Saraguro),O,Y,,,,
Volcanicos,Cascajal ,MPL,Cs,,,,
Volcanicos,Cerro Negro,Pl,Cn,,,,
Volcanicos,Chiltazon,PLPl,Cz,,,,
Volcanicos,Chutin,M?,C,,,,
Volcanicos,El Chispo ,MPL,Ech,,,,
Volcanicos,El Moran,MPL,Em,,,,
Volcanicos,Golondrinas,PL,G,,,,
Volcanicos,Huasi Chimba ,MPL,Hc,,,,
Volcanicos,Litapungo,MPL,Lt,,,,
Volcanicos,Monte Verde ,MPL,Mv,,,,
Volcanicos,Otavalo,MPL,O,,,,
Volcanicos,Parambas,MPL,Pa,,,,
Volcanicos,Quebrada Calderon ,O,Qc,,,,
Volcanicos,Quillopamba,MPL,Q,,,,
Volcanicos,Rosa de Oro,M,Ro,,,,
Volcanicos,Sanora,Pc,Sa,,,,
Volcanicos,Tambo Blanco (Saraguro),OM?,Tb,,,,
Volcanicos,Tambor ,PL,T,,,,
Volcanicos,Cotacachi,TA,Cot,,,,
Volcanicos,Cotacachi,AA,Cot,,,,
Volcanicos,Cuicocha,TD,Cui,,,,
Volcanicos,Cuicocha,AA,Cui,,,,
Volcanicos,Cuicocha,RD,Cui,,,,
Volcanicos,Cushnirumi,TD,Csh,,,,
Volcanicos,Cushnirumi,TA,Csh,,,,
Volcanicos,Cushnirumi,RD,Csh,,,,
Volcanicos,Cushnirumi,AA,Csh,,,,
Volcanicos,Imbabura,Avl,Imb,,,,
Volcanicos,Imbabura,TA,Imb,,,,
Volcanicos,Mojanda-Fuya fuya,Avl,Moj,,,,
Volcanicos,Mojanda-Fuya fuya,TA,Moj,,,,
Volcanicos,Mojanda-Fuya fuya,AA,Moj,,,,
Volcanicos,nagnaro,AA,na,,,,
Volcanicos,Parulo,AA,Pr,,,,
Volcanicos,Pichavi,AA,Pch,,,,
Volcanicos,Pilabo,AA,Pil,,,,
Volcanicos,Tumbatu,TRd ,Tu,,,,
Volcanicos,Yanaurcu,AA,Ya,,,,
,Cuarzodiorita Uzhar,O?,Uz,,,,
,Diorita El Descanso,O,Ed,,,,
,Granodiorita Azafran,J,Saz,,,,
,Granitoide Portachuela,M,Po,,,,
,Granodiorita Tangula,K,Ta,,,,
,Ofiolita Zumba,^,Z,,,,
